Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-08-13,2024-08-14,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,193.00€,4,205,1026,344721,205-4-1026,2023-08-23
2024-08-13,2024-08-14,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,217.00€,4,205,1023,344721,205-4-1023,2023-08-23
2024-08-13,2024-08-14,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,256.80€,4,205,1024,344721,205-4-1024,2023-08-23
2024-08-13,2024-08-14,Family & Friends Zimmer,3,Übernachtung - Halbpension,302.20€,4,301,1024,343773,301-4-1024,2023-08-23
2024-08-13,2024-08-14,Family & Friends Zimmer,3,Übernachtung - Frühstück,242.50€,4,301,1023,343773,301-4-1023,2023-08-23
2024-08-13,2024-08-14,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,314.70€,4,302,1024,344598,302-4-1024,2023-08-23
2024-08-13,2024-08-14,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,255.00€,4,302,1023,344598,302-4-1023,2023-08-23
2024-08-13,2024-08-14,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-08-23
2024-08-13,2024-08-14,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-08-23
2024-08-13,2024-08-14,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-08-23
2024-08-13,2024-08-14,Appartement4,4,Übernachtung ohne Frühstück,264.00€,3,603,1026,344720,603-4-1026,2023-08-23
2024-08-13,2024-08-14,Appartement4,4,Übernachtung - Frühstück,312.00€,3,603,1023,344720,603-4-1023,2023-08-23
2024-08-13,2024-08-14,Appartement4,4,Übernachtung - Halbpension,391.60€,3,603,1024,344720,603-4-1024,2023-08-23
2024-08-13,2024-08-14,Studio,4,Übernachtung ohne Frühstück,264.00€,2,918,1026,344719,918-4-1026,2023-08-23
2024-08-13,2024-08-14,Studio,4,Übernachtung - Frühstück,312.00€,2,918,1023,344719,918-4-1023,2023-08-23
2024-08-13,2024-08-14,Studio,4,Übernachtung - Halbpension,391.60€,2,918,1024,344719,918-4-1024,2023-08-23
2024-08-16,2024-08-17,Einzelzimmer,1,Übernachtung - Frühstück,156.00€,4,101,1023,343771,101-4-1023,2023-08-23
2024-08-16,2024-08-17,Einzelzimmer,1,Übernachtung - Halbpension,175.90€,4,101,1024,343771,101-4-1024,2023-08-23
2024-08-16,2024-08-17,Einzelzimmer,1,Übernachtung Frühstück NonFlex,156.00€,4,101,1141,343771,101-4-1141,2023-08-23
2024-08-16,2024-08-17,Doppelzimmer,2,Übernachtung Frühstück NonFlex,178.50€,4,201,1141,343772,201-4-1141,2023-08-23
2024-08-16,2024-08-17,Doppelzimmer,2,Übernachtung - Frühstück,184.00€,4,201,1023,343772,201-4-1023,2023-08-23
2024-08-16,2024-08-17,Doppelzimmer,2,Übernachtung - Halbpension,223.80€,4,201,1024,343772,201-4-1024,2023-08-23
2024-08-16,2024-08-17,Doppelzimmer Superior,2,Übernachtung - Frühstück,202.50€,4,203,1023,344599,203-4-1023,2023-08-23
2024-08-16,2024-08-17,Doppelzimmer Superior,2,Übernachtung - Halbpension,242.30€,4,203,1024,344599,203-4-1024,2023-08-23
2024-08-16,2024-08-17,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,193.00€,4,205,1026,344721,205-4-1026,2023-08-23
2024-08-16,2024-08-17,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,217.00€,4,205,1023,344721,205-4-1023,2023-08-23
2024-08-16,2024-08-17,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,256.80€,4,205,1024,344721,205-4-1024,2023-08-23
2024-08-16,2024-08-17,Family & Friends Zimmer,3,Übernachtung - Halbpension,302.20€,4,301,1024,343773,301-4-1024,2023-08-23
2024-08-16,2024-08-17,Family & Friends Zimmer,3,Übernachtung - Frühstück,242.50€,4,301,1023,343773,301-4-1023,2023-08-23
2024-08-16,2024-08-17,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,314.70€,4,302,1024,344598,302-4-1024,2023-08-23
2024-08-16,2024-08-17,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,255.00€,4,302,1023,344598,302-4-1023,2023-08-23
2024-08-16,2024-08-17,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-08-23
2024-08-16,2024-08-17,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-08-23
2024-08-16,2024-08-17,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-08-23
2024-08-16,2024-08-17,Appartement4,4,Übernachtung ohne Frühstück,264.00€,3,603,1026,344720,603-4-1026,2023-08-23
2024-08-16,2024-08-17,Appartement4,4,Übernachtung - Frühstück,312.00€,3,603,1023,344720,603-4-1023,2023-08-23
2024-08-16,2024-08-17,Appartement4,4,Übernachtung - Halbpension,391.60€,3,603,1024,344720,603-4-1024,2023-08-23
2024-08-16,2024-08-17,Studio,4,Übernachtung ohne Frühstück,264.00€,2,918,1026,344719,918-4-1026,2023-08-23
2024-08-16,2024-08-17,Studio,4,Übernachtung - Frühstück,312.00€,2,918,1023,344719,918-4-1023,2023-08-23
2024-08-16,2024-08-17,Studio,4,Übernachtung - Halbpension,391.60€,2,918,1024,344719,918-4-1024,2023-08-23
2024-08-17,2024-08-18,Einzelzimmer,1,Übernachtung - Frühstück,156.00€,4,101,1023,343771,101-4-1023,2023-08-23
2024-08-17,2024-08-18,Einzelzimmer,1,Übernachtung - Halbpension,175.90€,4,101,1024,343771,101-4-1024,2023-08-23
2024-08-17,2024-08-18,Einzelzimmer,1,Übernachtung Frühstück NonFlex,156.00€,4,101,1141,343771,101-4-1141,2023-08-23
2024-08-17,2024-08-18,Doppelzimmer,2,Übernachtung Frühstück NonFlex,178.50€,4,201,1141,343772,201-4-1141,2023-08-23
2024-08-17,2024-08-18,Doppelzimmer,2,Übernachtung - Frühstück,184.00€,4,201,1023,343772,201-4-1023,2023-08-23
2024-08-17,2024-08-18,Doppelzimmer,2,Übernachtung - Halbpension,223.80€,4,201,1024,343772,201-4-1024,2023-08-23
2024-08-17,2024-08-18,Doppelzimmer Superior,2,Übernachtung - Frühstück,202.50€,4,203,1023,344599,203-4-1023,2023-08-23
2024-08-17,2024-08-18,Doppelzimmer Superior,2,Übernachtung - Halbpension,242.30€,4,203,1024,344599,203-4-1024,2023-08-23
2024-08-17,2024-08-18,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,193.00€,4,205,1026,344721,205-4-1026,2023-08-23
2024-08-17,2024-08-18,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,217.00€,4,205,1023,344721,205-4-1023,2023-08-23
2024-08-17,2024-08-18,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,256.80€,4,205,1024,344721,205-4-1024,2023-08-23
2024-08-17,2024-08-18,Family & Friends Zimmer,3,Übernachtung - Halbpension,302.20€,4,301,1024,343773,301-4-1024,2023-08-23
2024-08-17,2024-08-18,Family & Friends Zimmer,3,Übernachtung - Frühstück,242.50€,4,301,1023,343773,301-4-1023,2023-08-23
2024-08-17,2024-08-18,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,314.70€,4,302,1024,344598,302-4-1024,2023-08-23
2024-08-17,2024-08-18,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,255.00€,4,302,1023,344598,302-4-1023,2023-08-23
2024-08-17,2024-08-18,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-08-23
2024-08-17,2024-08-18,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-08-23
2024-08-17,2024-08-18,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-08-23
2024-08-17,2024-08-18,Appartement4,4,Übernachtung ohne Frühstück,264.00€,3,603,1026,344720,603-4-1026,2023-08-23
2024-08-17,2024-08-18,Appartement4,4,Übernachtung - Frühstück,312.00€,3,603,1023,344720,603-4-1023,2023-08-23
2024-08-17,2024-08-18,Appartement4,4,Übernachtung - Halbpension,391.60€,3,603,1024,344720,603-4-1024,2023-08-23
2024-08-17,2024-08-18,Studio,4,Übernachtung ohne Frühstück,264.00€,2,918,1026,344719,918-4-1026,2023-08-23
2024-08-17,2024-08-18,Studio,4,Übernachtung - Frühstück,312.00€,2,918,1023,344719,918-4-1023,2023-08-23
2024-08-17,2024-08-18,Studio,4,Übernachtung - Halbpension,391.60€,2,918,1024,344719,918-4-1024,2023-08-23
